game_id,week,home_team_id,home_team_name,home_team_abbr,home_score,away_team_id,away_team_name,away_team_abbr,away_score,venue_name,game_date,start_time_local,timestamp_utc,timestamp_pst,season_id,season_name,season_year,season_type,league_id,league_name
401282714,1,10041,Illinois,ILL,30,10068,Nebraska,NEB,22,Memorial Stadium,,,8/28/2021 17:20,8/28/2021 10:20,10001,College Football 2021,2021,regular,1001,College Football
401286187,1,10034,Fresno State,FRES,45,10026,Connecticut,CONN,0,Bulldog Stadium,,,8/28/2021 18:00,8/28/2021 11:00,10001,College Football 2021,2021,regular,1001,College Football
401309833,1,10112,UCLA,UCLA,44,10039,Hawai'i,HAW,10,Rose Bowl,,,8/28/2021 19:30,8/28/2021 12:30,10001,College Football 2021,2021,regular,1001,College Football
401282049,1,10071,New Mexico State,NMSU,3,10118,UTEP,UTEP,30,Aggie Memorial Stadium,,,8/29/2021 1:30,8/28/2021 18:30,10001,College Football 2021,2021,regular,1001,College Football
401310693,1,10091,San Jos,SJSU,45,10535,Southern Utah,NULL,14,Spartan Stadium,,,8/29/2021 2:00,8/28/2021 19:00,10001,College Football 2021,2021,regular,1001,College Football
401282050,1,10484,Jacksonville State,NULL,0,10110,UAB,UAB,31,Cramton Bowl,,,9/1/2021 23:30,9/1/2021 16:30,10001,College Football 2021,2021,regular,1001,College Football
401309540,1,10011,Ball State,BALL,31,10551,Western Illinois,NULL,21,Scheumann Stadium,,,9/2/2021 23:00,9/2/2021 16:00,10001,College Football 2021,2021,regular,1001,College Football
401328545,1,10023,Coastal Carolina,CCU,52,10452,The Citadel,NULL,14,Brooks Stadium,,,9/2/2021 23:00,9/2/2021 16:00,10001,College Football 2021,2021,regular,1001,College Football
401300995,1,10111,UCF,UCF,36,10013,Boise State,BSU,31,Bright House Networks Stadium,,,9/2/2021 23:00,9/2/2021 16:00,10001,College Football 2021,2021,regular,1001,College Football
401309542,1,10016,Buffalo,BUFF,69,10548,Wagner,NULL,7,UB Stadium,,,9/2/2021 23:00,9/2/2021 16:00,10001,College Football 2021,2021,regular,1001,College Football
401282607,1,10067,NC State,NCST,45,10096,South Florida,USF,0,Carter-Finley Stadium,,,9/2/2021 23:30,9/2/2021 16:30,10001,College Football 2021,2021,regular,1001,College Football
